team_id,league_id,name,abbr,short_name,former_names,city,country,arena,arena_capacity,founded_year,colours_primary_hex,colours_secondary_hex,colours_accent_hex,colours_source,mascot,owner,ownership_structure,wikidata_qid,wikipedia_en,official_url,as_of,source_url,confidence
nba_celtics_q131371,nba,Boston Celtics,BOS,Celtics,,Boston,US,TD Garden,19156,1946,,,,,Lucky the Leprechaun,Wyc Grousbeck,unknown,Q131371,Boston Celtics,https://www.nba.com/celtics,2026-09-19,https://www.wikidata.org/wiki/Q131371,HIGH
nba_nets_q976396,nba,Brooklyn Nets,BKN,Nets,New Jersey Americans|New York Nets|New Jersey Nets,Brooklyn,US,Barclays Center,17732,1967,,,,,,Joseph Tsai,unknown,Q976396,Brooklyn Nets,https://www.nba.com/nets,2026-09-19,https://www.wikidata.org/wiki/Q976396,HIGH
nba_knicks_q131364,nba,New York Knicks,NYK,Knicks,,New York City,US,Madison Square Garden,19812,1946,,,,,,James Dolan,unknown,Q131364,New York Knicks,https://www.nba.com/knicks,2026-09-19,https://www.wikidata.org/wiki/Q131364,HIGH
nba_76ers_q138089,nba,Philadelphia 76ers,PHI,76ers,Syracuse Nationals,Philadelphia,US,Wells Fargo Center,20478,1946,,,,,Franklin the Dog,Josh Harris,unknown,Q138089,Philadelphia 76ers,https://www.nba.com/sixers,2026-09-19,https://www.wikidata.org/wiki/Q138089,HIGH
nba_raptors_q329816,nba,Toronto Raptors,TOR,Raptors,,Toronto,CA,Scotiabank Arena,19800,1995,,,,,The Raptor,Maple Leaf Sports & Entertainment,group,Q329816,Toronto Raptors,https://www.nba.com/raptors,2026-09-19,https://www.wikidata.org/wiki/Q329816,HIGH
nba_bulls_q128109,nba,Chicago Bulls,CHI,Bulls,,Chicago,US,United Center,20917,1966,,,,,Benny the Bull,Jerry Reinsdorf,unknown,Q128109,Chicago Bulls,https://www.nba.com/bulls,2026-09-19,https://www.wikidata.org/wiki/Q128109,HIGH
nba_cavaliers_q162990,nba,Cleveland Cavaliers,CLE,Cavaliers,,Cleveland,US,Rocket Mortgage FieldHouse,19432,1970,,,,,Moondog,Dan Gilbert,unknown,Q162990,Cleveland Cavaliers,https://www.nba.com/cavaliers,2026-09-19,https://www.wikidata.org/wiki/Q162990,HIGH
nba_pistons_q169637,nba,Detroit Pistons,DET,Pistons,Fort Wayne Zollner Pistons,Detroit,US,Little Caesars Arena,20491,1941,,,,,Hooper,Tom Gores,unknown,Q169637,Detroit Pistons,https://www.nba.com/pistons,2026-09-19,https://www.wikidata.org/wiki/Q169637,HIGH
nba_pacers_q170329,nba,Indiana Pacers,IND,Pacers,,Indianapolis,US,Gainbridge Fieldhouse,17923,1967,,,,,Boomer,Herbert Simon,unknown,Q170329,Indiana Pacers,https://www.nba.com/pacers,2026-09-19,https://www.wikidata.org/wiki/Q170329,HIGH
nba_bucks_q169165,nba,Milwaukee Bucks,MIL,Bucks,,Milwaukee,US,Fiserv Forum,17341,1968,,,,,Bango,Wes Edens,unknown,Q169165,Milwaukee Bucks,https://www.nba.com/bucks,2026-09-19,https://www.wikidata.org/wiki/Q169165,HIGH
